train_episode,train_steps,reward,env
57115,461525,-1428.0,9
57116,461896,-3170.0,10
57117,462071,-1344.0,9
57118,462279,-1851.0,9
57119,463207,-3988.0,9
57120,463409,-1854.0,9
57121,464370,-6193.0,10
57122,465331,-6550.0,10
57123,466259,-9119.0,9
57124,467220,-7449.0,10
57125,468181,-10224.0,10
57126,469142,-7461.0,10
57127,469405,-2265.0,10
57128,470333,-9935.0,9
57129,470596,-2089.0,9
57130,470849,-2089.0,10
57131,471176,-1924.0,9
57132,472104,-9761.0,9
57133,473065,-3628.0,10
57134,473237,-1487.0,9
57135,473459,-1525.0,10
57136,474387,-6115.0,9
57137,474554,-1242.0,9
57138,474757,-1813.0,10
57139,475006,-2244.0,9
57140,475967,-7002.0,10
57141,476163,-1515.0,10
57142,476416,-2128.0,10
57143,477377,-6643.0,10
57144,478305,-7966.0,9
57145,478556,-2166.0,10
57146,478819,-1903.0,9
57147,479747,-4840.0,9
57148,480708,-12839.0,10
57149,481669,-4561.0,10
57150,481989,-2455.0,10
57151,482917,-7866.0,9
57152,483845,-4995.0,9
57153,484140,-2823.0,9
57154,484374,-1911.0,10
57155,484587,-1524.0,9
57156,484828,-1980.0,10
57157,485789,-8704.0,10
57158,486750,-5523.0,10
57159,486984,-2037.0,10
57160,487912,-4838.0,9
57161,488873,-5969.0,10
57162,489834,-3539.0,10
57163,490762,-3302.0,9
57164,491723,-4312.0,10
57165,492651,-4153.0,9
57166,492845,-1581.0,10
57167,493806,-5888.0,10
57168,494767,-7613.0,10
57169,495695,-6472.0,9
57170,496656,-5869.0,10
57171,496867,-1274.0,9
57172,497795,-6115.0,9
57173,498723,-4909.0,9
57174,498953,-2223.0,9
57175,499266,-2687.0,9
57176,500227,-6017.0,10
57177,500417,-1718.0,9
57178,500727,-2057.0,9
57179,501655,-5757.0,9
57180,501911,-2441.0,10
57181,502218,-2609.0,10
57182,502404,-1568.0,10
57183,503365,-12790.0,10
57184,504326,-8377.0,10
57185,504666,-2379.0,9
57186,504909,-1641.0,10
57187,505870,-7532.0,10
57188,506831,-10884.0,10
57189,507792,-7722.0,10
57190,508753,-11378.0,10
57191,508977,-1834.0,10
57192,509343,-2789.0,10
57193,509512,-1263.0,9
57194,510440,-3789.0,9
57195,511401,-7129.0,10
57196,512362,-11891.0,10
57197,512625,-2093.0,10
57198,512804,-1401.0,10
57199,513067,-2261.0,10
57200,513277,-1575.0,9
57201,513547,-2281.0,9
57202,514508,-4441.0,10
57203,515469,-3904.0,10
57204,515697,-1674.0,10
57205,516658,-10492.0,10
57206,517586,-5308.0,9
57207,518514,-5469.0,9
57208,518683,-1468.0,10
57209,518872,-1421.0,9
57210,519800,-7589.0,9
57211,520045,-1647.0,9
57212,520973,-8848.0,9
57213,521934,-5221.0,10
57214,522141,-1858.0,9
57215,523102,-3526.0,10
57216,523332,-1845.0,10
57217,524293,-4448.0,10
57218,524572,-1941.0,10
57219,525533,-3021.0,10
57220,526494,-8552.0,10
57221,527455,-5499.0,10
57222,527816,-2441.0,10
57223,528119,-2355.0,10
57224,529047,-3413.0,9
57225,529217,-1536.0,10
57226,529364,-1509.0,10
57227,530325,-3524.0,10
57228,530739,-3013.0,10
57229,530971,-1854.0,9
57230,531299,-2338.0,10
57231,532260,-6319.0,10
57232,533221,-7867.0,10
57233,533394,-1429.0,9
57234,534355,-5473.0,10
57235,534650,-1948.0,10
57236,534909,-2170.0,9
57237,535119,-1325.0,9
57238,536080,-9242.0,10
57239,536392,-2517.0,9
57240,536653,-1805.0,10
57241,536884,-1874.0,9
57242,537845,-7569.0,10
57243,538806,-6799.0,10
57244,539767,-9421.0,10
57245,540096,-2576.0,9
57246,540372,-2530.0,9
57247,541300,-3976.0,9
57248,542261,-6431.0,10
57249,542555,-2616.0,10
57250,543483,-4671.0,9
57251,543832,-2385.0,9
57252,544062,-2305.0,10
57253,544225,-1401.0,10
57254,544523,-1853.0,9
57255,545484,-10087.0,10
57256,546445,-6881.0,10
57257,546881,-2435.0,9
57258,547842,-9593.0,10
57259,548770,-3053.0,9
57260,549039,-2226.0,9
57261,549341,-2212.0,10
57262,549575,-1893.0,10
57263,549852,-2666.0,10
57264,549993,-1329.0,10
57265,550212,-1972.0,10
57266,551140,-7315.0,9
57267,551355,-2015.0,9
57268,551608,-1934.0,9
57269,552536,-3418.0,9
57270,553497,-4311.0,10
57271,554458,-6371.0,10
57272,555386,-9145.0,9
57273,556347,-6213.0,10
57274,557308,-8424.0,10
57275,558236,-5322.0,9
57276,559197,-4127.0,10
57277,560158,-4458.0,10
57278,560369,-1779.0,9
57279,561330,-5853.0,10
57280,561536,-1346.0,9
57281,561719,-1774.0,10
57282,562647,-7467.0,9
57283,563575,-5033.0,9
57284,563849,-2103.0,10
57285,564011,-1385.0,9
57286,564440,-2970.0,10
57287,565401,-3810.0,10
57288,565735,-2885.0,9
57289,565991,-2658.0,10
57290,566124,-1412.0,10
57291,567085,-8350.0,10
57292,567305,-2375.0,10
57293,567470,-1488.0,9
57294,568398,-5906.0,9
57295,568565,-1423.0,10
57296,568946,-2483.0,10
57297,569246,-1936.0,9
57298,569625,-2742.0,9
57299,570553,-4915.0,9
